,MMSI,hasProblem,hasLocationSpoofing,hasIdentitySpoofing,CountOfClusters
265,0c462192-7748-4c40-bb04-38d8563e5e0c,False,False,False,2
266,204ee599-d3c9-492d-ae2d-c53c4d53875e,False,False,False,8
267,c3a54263-5780-4c47-99bd-cd86a1951aa9,False,False,False,14
268,e979ac5d-365b-4fa9-84e2-b6753ebc3089,False,False,False,16
269,452be9eb-d1aa-4cd7-8d85-78848e1c0b95,False,False,False,6
270,1a04d028-1086-4ed0-ba96-834f85cc8f63,False,False,False,4
271,ea507c6e-5719-4a2a-a2db-a957af74a127,False,False,False,-1
272,f8a1d8ad-fc72-4514-a080-1c49590878de,False,False,False,-1
273,5a5be525-e281-4fd3-b4fc-8df0391e4be1,False,False,False,14
274,daff4d28-b6ae-4de6-a15c-3a2a7cac8954,False,False,False,-1
275,39883605-fa38-49ea-b60c-6a17b72e3427,False,False,False,-1
276,44f6cc5b-dd7c-408e-9085-c7c02971bea1,False,False,False,-1
277,aeb52952-7577-4565-90a5-baf79fecbaeb,False,False,False,-1
278,41dc89c8-4d7e-4d18-8e98-9cb5b6a3efd8,False,False,False,-1
279,bc965f0f-935e-443d-ae1a-6c7267b820a4,False,False,False,16
280,e304b05f-1f6b-4a88-86f1-2ff8fd7fbcbb,False,False,False,30
281,e208999e-2942-42c4-be3a-f387d31dad07,False,False,False,-1
282,1b47b82f-cebf-4ea8-91a9-f890ecf30f1c,False,False,False,-1
283,5b2f778f-8d36-40c8-a397-aa811dcba824,False,False,False,7
284,d467aaae-69f0-4c51-a743-7563e6c5839f,False,False,False,24
285,a696a4ed-dbfb-4679-a50f-dfaa6bd85ce3,False,False,False,-1
286,a78a8111-d13c-4fe7-952c-f1b50f2b71d5,False,False,False,-1
287,4686aea4-1e76-4dea-822d-43ba4eeca189,False,False,False,-1
288,8c0825be-2cab-40c7-8f7a-09a44c32a9f3,False,False,False,30
289,cbbbeb92-f572-44bb-988f-6f3e5411b808,False,False,False,5
290,8fa97e1e-b718-4732-89a4-2c3355ac573e,False,False,False,-1
291,6cf361f0-c551-4c8a-8922-3d11b7ae4b95,False,False,False,-1
292,b17e6960-e588-4815-b787-629ace93c8b0,False,False,False,11
293,85acb58c-b7fc-4b6c-8665-26716e90b456,False,False,False,-1
294,2065b08a-e420-4e8a-9f8d-ef1f621a597e,True,True,False,36
295,18a10fab-f282-4455-a3c6-15b2c405d581,False,False,False,18
296,1e789a16-b516-49c5-b24e-8add97083dfa,False,False,False,-1
297,c5ce5a06-ed76-48a8-ace5-732979b66625,False,False,False,4
298,3c5ae49b-1cd8-463b-9ba8-c57319d4a482,False,False,False,-1
299,39e2a9b6-cece-4db5-a55d-fdf494d7452d,False,False,False,16
300,5088b84d-d813-4bb6-bfbb-96edb5a4f775,False,False,False,13
301,f87c4a01-12db-458f-a24a-cc9ca083b7c5,False,False,False,4
302,76c9c11f-f378-439a-bfb2-2f070a93b9fc,False,False,False,-1
303,0e9d8f7b-8bec-4985-9d25-0dc02c17cb42,False,False,False,11
304,2df9bed1-7474-4327-96e5-41d770d44220,False,False,False,-1
305,c5ec1dac-7a55-4351-ae1f-557a63123187,False,False,False,-1
306,050f50c8-105b-4083-938b-5266e65e6c7a,False,False,False,11
307,99bf4589-abf7-47a7-9c1e-7e0a663c7840,False,False,False,-1
308,92afafa5-e200-4c38-befc-8e59cceaa5ed,False,False,False,-1
309,47df59b5-6fcf-468c-aeca-266ec7dc27ae,False,False,False,21
310,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,False,False,False,-1
311,7dabcc88-dd38-462f-9c5e-005c429d68c5,False,False,False,-1
312,1c46a91b-90ac-4a5e-85bc-461e446ea042,False,False,False,-1
313,72d6bb16-37ea-45a4-890e-829f33217840,False,False,False,-1
314,9a048f4c-915b-4e05-9c5b-2eede62b74ac,False,False,False,25
315,ce516ef8-9605-4e8a-b8c3-0786cd877746,False,False,False,8
316,5f53da7a-db86-4761-a516-c10934b30399,False,False,False,-1
317,c6b1ce23-c543-4624-9785-b13d85f8e826,False,False,False,-1
318,7496a98d-b12d-4163-a164-1679cbbea416,False,False,False,-1
319,5304e459-384c-47b9-b3e9-be1703964724,False,False,False,15
320,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,False,False,False,16
321,34e2a568-d282-4f81-a2c6-f96dda7bc1ba,False,False,False,12
322,226efbde-65f3-4b4d-b193-5c01a4b5c8fa,False,False,False,14
323,7923c237-9347-4b8c-ab06-606e2d940052,False,False,False,-1
324,c4ca9fca-aaf1-4b66-94ff-faf8e5283e84,False,False,False,10
325,94751f6e-79e7-48a2-a9a5-e5b609f617c8,False,False,False,11
326,bd0c62e2-3510-4abc-bfd2-b01b3dda2057,False,False,False,13
327,76a65cfe-d39e-4683-b6ac-07803c1a97cb,False,False,False,9
328,7f729721-0666-4e2b-81d6-7670709252f3,False,False,False,-1
